time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.005000,0.004305,-0.018623,1.640127,-7.378891,333.131999,-1444.955744,19.965159,-19.965159
0.010000,0.016031,-0.079976,3.130731,-15.484283,276.560938,-1197.684493,19.910696,-19.910696
0.015000,0.033417,-0.175998,4.196064,-20.007012,213.571520,-957.813414,19.836712,-19.836712
0.020000,0.054779,-0.263948,5.679503,-24.268523,145.999526,-702.788518,19.743330,-19.743330
0.025000,0.090280,-0.433760,5.490069,-28.840947,77.760316,-437.014401,19.630691,-19.630691
0.030000,0.109289,-0.511490,6.360533,-28.322881,22.503779,-256.882659,19.498953,-19.498953
0.035000,0.157488,-0.737980,6.298128,-32.717745,-20.192236,-82.738496,19.348295,-19.348295
0.040000,0.171549,-0.820170,6.433880,-28.513259,-48.350734,0.039803,19.178912,-19.178912
0.045000,0.223317,-1.084243,6.046004,-30.989894,-62.809639,38.513376,18.991018,-18.991018
0.050000,0.243490,-1.233135,4.787231,-27.945188,-68.779801,40.507496,18.784846,-18.784846
0.055000,0.271629,-1.417642,4.733313,-27.873444,-84.034359,27.771102,18.560644,-18.560644
0.060000,0.253859,-1.507997,4.422549,-33.216269,-94.163697,7.758221,18.318678,-18.318678
0.065000,0.308930,-1.783473,4.260570,-30.332791,-105.643209,-22.078973,18.059233,-18.059233
0.070000,0.338531,-1.682994,3.280141,-29.256780,-126.127788,-51.988832,17.782607,-17.782607
0.075000,0.305914,-2.050472,2.762647,-33.574887,-138.707305,-101.972967,17.489116,-17.489116
0.080000,0.369232,-2.183924,1.966325,-29.703963,-165.713599,-145.722642,17.179093,-17.179093
0.085000,0.334631,-2.071691,1.221502,-30.862373,-161.108133,-212.365008,16.852885,-16.852885
0.090000,0.367319,-2.468017,0.306401,-31.310138,-202.791035,-278.678255,16.510853,-16.510853
0.095000,0.353217,-2.696304,-0.643099,-31.477427,-183.689742,-323.128307,16.153377,-16.153377
0.100000,0.358675,-2.852525,-1.487445,-32.861546,-184.017459,-294.973891,15.780846,-15.780846
0.105000,0.357394,-2.756493,-2.367597,-39.843542,-94.712441,-190.584020,15.393666,-15.393666
0.110000,0.301485,-3.140176,-2.547758,-36.519117,28.374393,-19.834672,14.992257,-14.992257
0.115000,0.335230,-3.577079,-1.850698,-36.091936,148.630345,163.090458,14.577049,-14.577049
0.120000,0.321483,-3.848939,-1.067771,-34.093546,220.809926,204.138833,14.148487,-14.148487
0.125000,0.279969,-3.489385,0.106483,-32.785611,259.610427,211.206690,13.707028,-13.707028
0.130000,0.338929,-3.639664,1.243177,-34.110421,218.012607,114.799622,13.253139,-13.253139
0.135000,0.306416,-4.213519,2.399795,-34.493005,218.264777,28.515357,12.787301,-12.787301
0.140000,0.343994,-4.606373,3.579318,-33.220841,195.130690,-64.695020,12.310001,-12.310001
0.145000,0.334786,-4.764024,4.535985,-37.423692,221.534101,-159.726084,11.821741,-11.821741
0.150000,0.368802,-4.970196,5.747001,-37.562636,205.247471,-247.304932,11.323029,-11.323029
0.155000,0.413822,-4.621695,6.899110,-41.659694,190.178117,-365.047934,10.814385,-10.814385
0.160000,0.437757,-4.701521,8.445115,-37.855245,227.285368,-495.042806,10.296335,-10.296335
0.165000,0.518141,-5.113373,9.178784,-44.453908,244.891829,-656.016974,9.769413,-9.769413
0.170000,0.526457,-4.893755,10.590212,-46.256909,286.249753,-869.922254,9.234163,-9.234163
0.175000,0.618805,-5.519563,10.974903,-48.086909,272.193901,-1076.928488,8.691133,-8.691133
0.180000,0.655322,-6.447863,13.372913,-57.623390,210.139463,-733.686266,8.140879,-8.140879
0.185000,0.736132,-6.814681,14.594662,-62.880070,-46.379518,283.454853,7.583962,-7.583962
0.190000,0.865225,-6.389793,13.431755,-54.017198,-273.670610,1357.579819,7.020949,-7.020949
0.195000,0.832003,-6.952324,10.253164,-45.405728,-330.015162,1266.484754,6.452410,-6.452410
0.200000,0.948195,-6.350098,10.193010,-40.115635,-266.819569,1186.786294,5.878921,-5.878921
0.205000,0.846220,-6.529993,7.757458,-38.668886,-225.776241,846.621119,5.301061,-5.301061
0.210000,0.997044,-7.435086,7.558906,-29.216445,-198.358056,699.710965,4.719409,-4.719409
0.215000,1.054701,-6.987315,5.737408,-30.332671,-156.819892,480.518627,4.134552,-4.134552
0.220000,0.940169,-7.762761,5.498970,-24.620235,-126.356508,407.825174,3.547073,-3.547073
0.225000,1.080694,-8.247678,4.608835,-26.909794,-110.313161,343.448215,2.957559,-2.957559
0.230000,1.122852,-7.673907,4.717231,-24.606200,-102.674691,289.639555,2.366597,-2.366597
0.235000,1.178609,-7.555641,3.520639,-20.020564,-99.519470,220.848265,1.774775,-1.774775
0.240000,1.124098,-8.488289,3.283564,-22.444623,-80.948496,213.455362,1.182678,-1.182678
0.245000,1.059928,-8.637596,3.215466,-19.599035,-77.404371,193.708108,0.590892,-0.590892
0.250000,1.063742,-8.764034,2.376751,-18.048809,-75.799061,165.923255,0.000000,-0.000000
0.255000,1.072519,-9.027865,2.247640,-16.662260,-74.563080,168.102528,-0.589416,0.589416
0.260000,1.183440,-7.950519,1.931185,-18.961482,-63.988460,164.616462,-1.176779,1.176779
0.265000,1.233547,-8.009910,1.697336,-15.199019,-57.436873,164.074521,-1.761514,1.761514
0.270000,1.247023,-8.889236,1.341375,-15.879276,-59.701268,163.554693,-2.343049,2.343049
0.275000,1.297269,-8.232026,0.929789,-15.691597,-54.231752,162.427431,-2.920819,2.920819
0.280000,1.272558,-8.671851,0.754958,-12.795720,-42.591231,183.706955,-3.494264,3.494264
0.285000,1.252623,-8.346908,0.606109,-11.979256,-40.234068,191.864678,-4.062826,4.062826
0.290000,1.331352,-9.529078,0.427496,-11.515785,-30.002334,215.840539,-4.625959,4.625959
0.295000,1.188276,-9.190598,0.255697,-10.276797,-22.651602,190.998288,-5.183118,5.183118
0.300000,1.125691,-9.327213,0.161829,-9.953392,-20.248947,236.358740,-5.733770,5.733770
0.305000,1.106748,-9.388585,0.083349,-8.003304,-15.325932,246.666000,-6.277386,6.277386
0.310000,1.144012,-9.012104,0.023028,-7.250146,-10.991966,252.814224,-6.813448,6.813448
0.315000,1.228648,-8.740465,-0.020695,-7.057605,-8.316190,267.623457,-7.341445,7.341445
0.320000,1.307276,-8.782191,-0.049226,-5.011145,-5.436201,267.867181,-7.860876,7.860876
0.325000,1.195810,-9.694664,-0.086593,-4.031601,-5.488613,271.144044,-8.371250,8.371250
0.330000,1.142383,-9.846841,-0.102292,-2.899091,-4.460542,233.256221,-8.872086,8.872086
0.335000,1.227768,-8.787611,-0.124292,-1.469204,-5.036190,235.306651,-9.362912,9.362912
0.340000,1.123211,-9.480300,-0.151639,-0.110273,-6.664596,237.047367,-9.843270,9.843270
0.345000,1.331419,-8.284316,-0.193084,1.159746,-7.253469,251.312349,-10.312711,10.312711
0.350000,1.271277,-9.919600,-0.233760,2.302124,-9.770547,250.819300,-10.770799,10.770799
