time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.100000,0.371736,-2.629254,-1.595467,-34.413017,-184.722970,-292.286035,15.780846,-15.780846
0.200000,0.902203,-7.309122,9.462351,-42.280467,-290.244729,1030.808384,5.878921,-5.878921
0.300000,1.176819,-9.625260,0.161653,-9.695804,-18.253376,200.186431,-5.733770,5.733770
0.400000,1.099029,-8.284001,-1.850307,14.040280,-57.244598,205.473487,-14.640577,14.640577
0.500000,0.381408,-5.554360,-10.988973,46.245414,206.908095,-706.475739,-17.649938,17.649938
0.600000,-0.401427,-1.141640,-14.080942,48.654124,-320.391101,1119.649038,-13.926548,13.926548
0.700000,-1.700752,3.324711,-6.158560,31.207406,-13.903198,-143.124029,-5.188130,5.188130
0.800000,-2.231306,5.303758,-7.097639,15.460607,89.180640,-375.989278,5.060034,-5.060034
0.900000,-2.656479,5.221724,0.790608,-21.712715,-31.378346,-138.348858,12.920264,-12.920264
1.000000,-2.760292,2.043056,2.414414,-29.845427,205.660747,-133.427779,15.576016,-15.576016
1.100000,-1.866863,-2.625516,3.876172,-35.002034,-165.578407,-181.046060,12.290135,-12.290135
1.200000,-0.781449,-6.961254,14.272179,-48.938533,-305.855215,1485.207641,4.578508,-4.578508
1.300000,0.177823,-9.044218,10.482403,4.702926,-43.071699,340.585590,-4.465465,4.465465
1.400000,0.527450,-5.557862,-3.151723,38.563111,185.685249,-578.255349,-11.402093,11.402093
1.500000,0.855453,-3.011206,8.457614,34.812766,-241.875765,-134.323141,-13.745786,13.745786
1.600000,0.608152,1.248611,-6.013079,34.694253,196.006488,-475.855378,-10.846006,10.846006
1.700000,0.371986,3.981186,-4.419242,25.682861,-104.582132,6.224514,-4.040519,4.040519
1.800000,-0.264597,6.962598,-3.351068,5.333872,97.032035,-468.210742,3.940759,-3.940759
1.900000,-0.191518,5.828837,2.781640,-19.987790,-26.695444,62.226184,10.062312,-10.062312
2.000000,-0.150712,3.444356,-2.782366,-24.773933,-37.763330,-129.465157,12.130613,-12.130613
2.100000,0.189451,0.063837,12.624326,-55.202612,-8.903333,120.660599,9.571567,-9.571567
2.200000,0.631900,-2.812953,0.875092,-20.319850,-42.426719,48.939275,3.565746,-3.565746
2.300000,0.867931,-4.669954,1.477110,-8.944085,-16.704302,126.564437,-3.477707,3.477707
2.400000,0.853850,-4.986446,-1.988189,5.357961,-38.000826,133.640017,-8.879959,8.879959
2.500000,0.451726,-3.188801,-3.684793,15.742263,-6.549617,127.166124,-10.705229,10.705229
2.600000,-0.110897,-0.932765,-9.802942,35.886255,-159.626331,588.697002,-8.446878,8.446878
2.700000,-0.968087,2.044175,-5.691214,14.290453,25.299477,-139.298943,-3.146760,3.146760
2.800000,-1.543708,3.022256,-4.186882,1.966683,19.193184,-118.975385,3.069066,-3.069066
2.900000,-1.668865,2.613254,-0.698104,-9.401398,57.017781,-100.061514,7.836536,-7.836536
3.000000,-1.463015,0.909580,7.542201,-28.894516,150.478972,-462.979873,9.447331,-9.447331
3.100000,-0.666597,-1.930359,7.745436,-20.645966,8.305112,105.190552,7.454344,-7.454344
3.200000,0.177323,-3.280890,9.571648,-13.098256,-27.699083,-70.219220,2.777006,-2.777006
3.300000,0.990656,-5.059103,6.823233,-17.120315,-27.816189,81.715613,-2.708441,2.708441
3.400000,1.239290,-5.009155,-0.408010,9.894306,-47.254214,173.639978,-6.915719,6.915719
3.500000,1.184226,-3.964088,-1.154920,16.749759,17.790464,90.661534,-8.337240,8.337240
3.600000,0.936589,-2.146710,-5.323632,22.770347,-78.224835,107.122574,-6.578435,6.578435
3.700000,0.091114,0.960484,-7.737963,18.822049,58.993409,-331.604456,-2.450699,2.450699
3.800000,-0.522689,1.431185,-4.663190,-3.382062,34.162039,-178.771201,2.390191,-2.390191
3.900000,-0.600675,0.161189,2.414526,-23.900310,51.429507,-125.080368,6.103100,-6.103100
4.000000,-0.491468,-1.670028,-0.101539,-16.612930,-28.215854,-4.669156,7.357589,-7.357589
4.100000,-0.520866,-3.339246,0.066434,-19.877060,78.434704,42.957680,5.805449,-5.805449
4.200000,-0.236272,-5.760506,7.047201,-23.454252,49.328890,-107.852064,2.162734,-2.162734
4.300000,0.216578,-6.527343,1.666033,0.020873,-39.761188,180.551292,-2.109336,2.109336
4.400000,0.157687,-6.186926,-2.111330,14.744944,-3.938533,5.281529,-5.385967,5.385967
4.500000,0.015783,-4.936253,-0.849082,14.166003,13.955626,-5.154201,-6.493049,6.493049
4.600000,0.005833,-3.185488,0.519898,15.369919,-7.547208,0.101215,-5.123291,5.123291
4.700000,-0.082063,-1.777782,-2.020234,12.449810,-23.437008,12.953405,-1.908606,1.908606
4.800000,-0.352378,-0.565997,-2.140840,10.183174,40.532017,-197.465520,1.861483,-1.861483
4.900000,-0.303817,-0.661831,2.360312,-8.207120,20.429215,-68.521887,4.753099,-4.753099
5.000000,-0.045117,-1.686818,2.871255,-9.372130,4.607673,6.701285,5.730096,-5.730096
5.100000,0.261935,-2.720203,3.580681,-7.877272,2.477627,15.898898,4.521288,-4.521288
5.200000,0.627176,-3.118191,3.036662,-8.241623,-13.520457,10.002073,1.684339,-1.684339
5.300000,0.872066,-3.709369,1.350749,-4.204139,-19.413102,51.125068,-1.642753,1.642753
5.400000,0.884725,-4.239862,-1.246130,1.662416,-28.090101,62.438940,-4.194596,4.194596
5.500000,0.651573,-3.487702,-3.385485,6.712486,-24.579719,29.386879,-5.056792,5.056792
5.600000,0.165861,-2.850882,-4.676878,9.441674,2.484992,61.177123,-3.990023,3.990023
5.700000,-0.331236,-1.491228,-5.234985,14.283577,-9.031348,47.380170,-1.486424,1.486424
5.800000,-0.858521,-0.153518,-2.735569,6.011793,67.588344,-295.342716,1.449724,-1.449724
5.900000,-0.760142,-0.484429,1.803600,-8.351998,20.567090,-39.083568,3.701718,-3.701718
6.000000,-0.472286,-1.471798,3.174637,-9.085453,12.522738,19.212019,4.462603,-4.462603
6.100000,-0.106585,-2.278517,4.569060,-5.307092,17.090230,52.260291,3.521183,-3.521183
6.200000,0.383743,-2.490059,5.058768,-0.310248,-4.184841,59.374494,1.311765,-1.311765
6.300000,0.896972,-2.180330,3.865326,5.360096,-34.963162,53.692798,-1.279377,1.279377
6.400000,1.139821,-1.463723,-0.389863,10.063567,-43.040300,82.809044,-3.266754,3.266754
6.500000,0.747651,0.071976,-5.407309,19.927271,12.709900,-133.200836,-3.938234,3.938234
6.600000,0.316779,1.466423,-3.890814,8.978068,-3.382564,-62.267201,-3.107433,3.107433
6.700000,-0.090618,1.771390,-4.274358,1.194905,0.174643,-71.283510,-1.157628,1.157628
6.800000,-0.450332,1.626124,-2.762083,-6.351673,34.623654,-70.795676,1.129046,-1.129046
6.900000,-0.627512,0.426342,1.459684,-15.826318,39.852981,-86.082159,2.882901,-2.882901
7.000000,-0.422397,-1.005601,1.251125,-9.458016,-4.426501,50.501007,3.475479,-3.475479
7.100000,-0.293520,-1.812764,1.393313,-7.439692,7.334742,31.749189,2.742300,-2.742300
7.200000,-0.088105,-2.467853,2.231444,-2.998724,10.320714,52.242431,1.021603,-1.021603
7.300000,0.179833,-2.392741,2.974106,2.555188,-6.675979,55.555713,-0.996380,0.996380
7.400000,0.383341,-1.740771,0.828273,8.984136,-30.514702,64.136397,-2.544151,2.544151
7.500000,0.286016,-0.427269,-3.373326,19.026236,-35.861824,80.549710,-3.067099,3.067099
7.600000,0.023047,0.818265,-1.704590,8.387689,10.636019,-75.876700,-2.420071,2.420071
7.700000,-0.112805,1.483389,-1.070739,2.669350,3.380001,-54.983509,-0.901562,0.901562
7.800000,-0.188263,1.475655,-0.485524,-3.330978,10.461526,-61.039799,0.879302,-0.879302
7.900000,-0.159782,0.726474,1.362663,-10.747006,26.186768,-76.496341,2.245205,-2.245205
8.000000,0.036040,-0.385756,1.684152,-9.259125,-14.609830,75.860209,2.706706,-2.706706
8.100000,0.159830,-1.211495,0.910245,-4.578758,-4.472618,39.694412,2.135705,-2.135705
8.200000,0.199451,-1.275670,0.457057,-1.094267,-4.474399,38.515171,0.795625,-0.795625
8.300000,0.217331,-1.371670,-0.238910,3.949113,-9.665923,54.520603,-0.775981,0.775981
8.400000,0.128839,-0.662602,-1.736627,9.543186,-18.068954,57.124613,-1.981387,1.981387
8.500000,-0.079465,0.408942,-1.755141,8.359300,10.676510,-63.368808,-2.388659,2.388659
8.600000,-0.196487,0.938266,-1.006128,3.805382,5.248485,-35.993696,-1.884753,1.884753
8.700000,-0.277842,1.227793,-0.407354,0.380518,6.150739,-38.774328,-0.702137,0.702137
8.800000,-0.282252,1.131235,0.510114,-3.712276,13.121579,-52.140961,0.684801,-0.684801
8.900000,-0.153865,0.387661,2.090151,-8.996914,11.186591,-24.619423,1.748568,-1.748568
9.000000,0.024952,-0.491278,1.761556,-6.763096,-6.402553,37.625953,2.107984,-2.107984
9.100000,0.158131,-0.916918,1.154721,-3.000759,-4.722811,33.521297,1.663289,-1.663289
9.200000,0.255999,-1.018338,0.646468,0.257486,-7.707869,34.302093,0.619634,-0.619634
9.300000,0.257241,-0.920778,-0.326530,4.727844,-12.319928,41.272302,-0.604335,0.604335
9.400000,0.202440,-0.198576,-1.558228,7.462855,-5.461772,3.978159,-1.543105,1.543105
9.500000,0.030987,0.434788,-1.267441,5.711472,3.141152,-28.345486,-1.860290,1.860290
9.600000,-0.091497,0.929593,-1.092087,2.537222,2.828775,-27.917956,-1.467847,1.467847
9.700000,-0.173761,1.008379,-0.746292,-0.531595,5.664045,-32.186218,-0.546825,0.546825
9.800000,-0.226403,0.768530,0.155862,-4.426410,10.018178,-38.089367,0.533324,-0.533324
9.900000,-0.136693,0.131148,1.089002,-6.285931,3.109350,3.101162,1.361786,-1.361786
10.000000,-0.041938,-0.471172,0.897626,-4.429362,-2.177206,24.398296,1.641700,-1.641700
10.100000,0.049137,-0.717312,0.782223,-2.338872,-2.104893,26.361168,1.295371,-1.295371
10.200000,0.113417,-0.924189,0.517065,0.679702,-4.655664,31.430977,0.482571,-0.482571
10.300000,0.126641,-0.678988,-0.189869,3.712863,-8.906818,31.489008,-0.470657,0.470657
10.400000,0.076706,-0.127041,-0.749916,6.221537,-1.580279,-3.878891,-1.201772,1.201772
10.500000,0.000248,0.406194,-0.619527,3.724702,2.002535,-22.067370,-1.448795,1.448795
10.600000,-0.055678,0.706265,-0.467334,1.928726,2.289425,-21.026085,-1.143161,1.143161
10.700000,-0.095252,0.723623,-0.163073,-0.623619,3.591025,-27.321612,-0.425868,0.425868
10.800000,-0.077630,0.602732,0.351564,-3.542259,6.487824,-25.599562,0.415353,-0.415353
10.900000,-0.021102,0.114263,0.739196,-5.200507,0.615505,2.895371,1.060560,-1.060560
