time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.001000,0.000163,-0.000705,0.342584,-1.544266,364.279666,-1586.265611,19.994606,-19.994606
0.002000,0.000653,-0.003264,0.686000,-3.404180,339.376382,-1477.173714,19.988424,-19.988424
0.003000,0.001428,-0.007541,0.976946,-4.670761,317.251016,-1415.171296,19.981455,-19.981455
0.004000,0.002457,-0.011864,1.435294,-6.122362,303.803519,-1395.268174,19.973700,-19.973700
0.005000,0.004280,-0.020550,1.543829,-8.014886,291.720722,-1367.979137,19.965159,-19.965159
0.006000,0.005520,-0.025689,2.033588,-8.796284,294.707018,-1561.255407,19.955833,-19.955833
0.007000,0.008533,-0.039466,2.322752,-11.425466,305.927405,-1395.894416,19.945723,-19.945723
0.008000,0.010020,-0.046805,2.758738,-11.178211,295.565560,-1281.901364,19.934830,-19.934830
0.009000,0.014102,-0.066039,3.026349,-13.546235,271.895447,-1455.813898,19.923153,-19.923153
0.010000,0.016649,-0.080050,2.806247,-13.488587,243.305876,-1272.860030,19.910696,-19.910696
0.011000,0.020124,-0.097843,3.264880,-14.693101,255.009520,-1166.313883,19.897457,-19.897457
0.012000,0.020386,-0.110313,3.620816,-18.901887,248.126089,-1201.729466,19.883438,-19.883438
0.013000,0.026902,-0.137792,4.204803,-18.415310,240.669850,-1177.606717,19.868640,-19.868640
0.014000,0.031993,-0.136812,4.008298,-18.725424,245.495889,-998.684316,19.853065,-19.853065
0.015000,0.031419,-0.174687,4.382181,-22.382528,227.471915,-1073.891971,19.836712,-19.836712
0.016000,0.041310,-0.194191,4.427607,-20.372860,226.340510,-973.891913,19.819583,-19.819583
0.017000,0.040928,-0.191455,4.786308,-21.508499,182.676456,-975.630432,19.801680,-19.801680
0.018000,0.049357,-0.236028,4.918886,-21.907410,193.894811,-940.236808,19.783002,-19.783002
0.019000,0.052485,-0.265684,4.951775,-21.890416,156.768034,-874.217143,19.763552,-19.763552
0.020000,0.059385,-0.288391,4.893963,-22.602006,163.216698,-752.409928,19.743330,-19.743330
0.021000,0.066393,-0.284900,5.580833,-27.235178,135.437368,-659.647151,19.722338,-19.722338
