time [s],q1 [rad],q2 [rad],q1dot [rad/s],q2dot [rad/s],q1ddot [rad/s^2],q2ddot [rad/s^2],u1 [Nm],u2 [Nm]
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,20.000000,-20.000000
0.500000,0.383611,-5.033636,-11.674429,42.575759,236.279778,-746.229346,-17.649938,17.649938
1.000000,-2.657934,2.041173,2.693591,-34.261191,233.770471,-125.547490,15.576016,-15.576016
1.500000,0.909840,-3.033815,8.098409,31.117997,-227.095177,-119.803956,-13.745786,13.745786
2.000000,-0.139023,3.152431,-3.228970,-26.600594,-33.779805,-120.926934,12.130613,-12.130613
2.500000,0.522564,-3.552279,-3.791888,17.673043,-5.718242,108.740278,-10.705229,10.705229
3.000000,-1.428617,0.767892,7.640073,-26.582510,144.731998,-528.990665,9.447331,-9.447331
3.500000,1.217386,-4.212517,-1.274378,19.294302,20.065622,82.587489,-8.337240,8.337240
4.000000,-0.450933,-1.734685,-0.101316,-15.409060,-30.873643,-4.085041,7.357589,-7.357589
4.500000,0.016910,-4.923780,-0.970685,13.195818,14.217945,-5.472228,-6.493049,6.493049
5.000000,-0.051343,-1.674797,2.841903,-9.007346,4.178824,7.156221,5.730096,-5.730096
5.500000,0.634663,-3.942137,-3.564525,5.810338,-21.908630,28.762286,-5.056792,5.056792
6.000000,-0.459514,-1.451818,3.270177,-9.996441,11.395730,17.877702,4.462603,-4.462603
6.500000,0.776122,0.074707,-5.451975,19.688593,11.732472,-127.880373,-3.938234,3.938234
7.000000,-0.425011,-0.882253,1.236188,-9.759926,-4.517196,47.200260,3.475479,-3.475479
7.500000,0.259650,-0.496275,-3.168200,19.507543,-34.878385,78.690826,-3.067099,3.067099
8.000000,0.038913,-0.438839,1.674217,-9.151574,-15.648476,71.168812,2.706706,-2.706706
8.500000,-0.068767,0.373466,-1.827499,7.854437,10.870041,-61.347125,-2.388659,2.388659
9.000000,0.027884,-0.470746,1.680869,-6.001994,-6.810613,42.931929,2.107984,-2.107984
9.500000,0.032305,0.492599,-1.344828,4.820162,2.974761,-32.362792,-1.860290,1.860290
10.000000,-0.042270,-0.459528,0.903992,-4.193619,-2.136889,24.680996,1.641700,-1.641700
10.500000,0.000266,0.363591,-0.691969,4.345151,2.164881,-20.307777,-1.448795,1.448795
11.000000,0.042163,-0.333927,0.605563,-3.420307,-2.677104,17.904509,1.278557,-1.278557
11.500000,-0.061212,0.318234,-0.593973,2.922293,2.384578,-16.547011,-1.128323,1.128323
12.000000,0.035277,-0.298716,0.686795,-2.437622,-1.714566,12.194355,0.995741,-0.995741
12.500000,-0.002949,0.238990,-0.544707,2.120395,1.035073,-12.571620,-0.878739,0.878739
13.000000,-0.007528,-0.214294,0.413920,-2.016216,-0.560039,9.779888,0.775484,-0.775484
13.500000,-0.005572,0.205183,-0.303162,1.842332,0.688876,-8.591667,-0.684362,0.684362
14.000000,0.023709,-0.183138,0.277071,-1.559027,-0.859334,7.937138,0.603948,-0.603948
14.500000,-0.025691,0.158730,-0.295319,1.500665,1.037030,-6.821802,-0.532982,0.532982
15.000000,0.016199,-0.144135,0.319937,-1.271752,-0.731152,5.687173,0.470355,-0.470355
15.500000,-0.003381,0.117968,-0.285722,1.193363,0.388126,-5.182937,-0.415087,0.415087
16.000000,-0.001268,-0.103108,0.224791,-0.916888,-0.281552,4.558053,0.366313,-0.366313
16.500000,-0.004003,0.093022,-0.154262,0.895639,0.306825,-3.991521,-0.323270,0.323270
17.000000,0.010597,-0.072833,0.136807,-0.753434,-0.413768,3.617256,0.285285,-0.285285
17.500000,-0.012868,0.068544,-0.131620,0.619703,0.388200,-3.462150,-0.251763,0.251763
18.000000,0.007675,-0.068915,0.147665,-0.595679,-0.322204,2.900242,0.222180,-0.222180
18.500000,-0.001981,0.063272,-0.136842,0.562199,0.195793,-2.326232,-0.196073,0.196073
19.000000,-0.000027,-0.050627,0.102953,-0.466537,-0.129556,2.396214,0.173034,-0.173034
19.500000,-0.002067,0.045905,-0.067653,0.401746,0.150131,-1.808124,-0.152702,0.152702
20.000000,0.005272,-0.034804,0.069737,-0.361078,-0.178532,1.829907,0.000000,0.000000
